tc_id,step_id,action_type,locator_type,locator_value,page_url,input_value,expected_result
TC-004-001,S1,open,,,https://gr13vou5.moodlecloud.com/course/modedit.php?add=assign&type&course=9&sectionid=34,,
TC-004-001,S2,type,id,id_name,,As1-DateFail,
TC-004-001,S3,select,id,id_allowsubmissionsfromdate_day,,21,
TC-004-001,S4,select,id,id_allowsubmissionsfromdate_month,,April,
TC-004-001,S5,select,id,id_allowsubmissionsfromdate_year,,2026,
TC-004-001,S6,select,id,id_duedate_day,,20,
TC-004-001,S7,select,id,id_duedate_month,,April,
TC-004-001,S8,select,id,id_duedate_year,,2026,
TC-004-001,S9,click,id,id_submitbutton2,,,
TC-004-001,S9.5,wait,,,2,,
TC-004-001,S10,verify_text,id,id_error_duedate,,,Due date must be after the allow submissions from date.
TC-004-002,S1,open,,,https://gr13vou5.moodlecloud.com/course/modedit.php?add=assign&type&course=9&sectionid=34,,
TC-004-002,S2,type,id,id_name,,As2-DateSuccess,
TC-004-002,S3,select,id,id_allowsubmissionsfromdate_day,,20,
TC-004-002,S4,select,id,id_allowsubmissionsfromdate_month,,April,
TC-004-002,S5,select,id,id_allowsubmissionsfromdate_year,,2026,
TC-004-002,S6,select,id,id_duedate_day,,21,
TC-004-002,S7,select,id,id_duedate_month,,April,
TC-004-002,S8,select,id,id_duedate_year,,2026,
TC-004-002,S9,click,id,id_submitbutton2,,,
TC-004-002,S10,wait,,,3,,
TC-004-002,S11,verify_visible,xpath,"//a[contains(text(),'As2-DateSuccess')]",,,VISIBLE
TC-004-003,S1,open,,,https://gr13vou5.moodlecloud.com/course/modedit.php?add=assign&type&course=9&sectionid=34,,
TC-004-003,S2,type,id,id_name,,As3-CutoffFail,
TC-004-003,S3,select,id,id_duedate_day,,21,
TC-004-003,S4,select,id,id_duedate_month,,April,
TC-004-003,S5,select,id,id_duedate_year,,2026,
TC-004-003,S6,click,id,id_cutoffdate_enabled,,,
TC-004-003,S7,select,id,id_cutoffdate_day,,20,
TC-004-003,S8,select,id,id_cutoffdate_month,,April,
TC-004-003,S9,select,id,id_cutoffdate_year,,2026,
TC-004-003,S10,click,id,id_submitbutton2,,,
TC-004-003,S11,wait,,,2,,
TC-004-003,S12,verify_text,id,id_error_cutoffdate,,,Cut-off date cannot be earlier than the allow submissions from date.
TC-004-005,S1,open,,,https://gr13vou5.moodlecloud.com/course/modedit.php?add=assign&type&course=9&sectionid=34,,
TC-004-005,S2,type,id,id_name,,As5-WordLimitSuccess,
TC-004-005,S3,click,id,id_assignsubmission_onlinetext_enabled,,,
TC-004-005,S4,click,id,id_assignsubmission_onlinetext_wordlimit_enabled,,,
TC-004-005,S5,type,id,id_assignsubmission_onlinetext_wordlimit,,10,
TC-004-005,S6,click,id,id_submitbutton2,,,
TC-004-005,S7,wait,,,3,,
TC-004-005,S8,verify_visible,xpath,"//a[contains(text(),'As5-WordLimitSuccess')]",,,VISIBLE
TC-004-020,S1,open,,,https://gr13vou5.moodlecloud.com/course/modedit.php?add=assign&type&course=9&sectionid=34,,
TC-004-020,S2,type,id,id_name,,As20-NegativeWordLimit,
TC-004-020,S3,click,id,id_assignsubmission_onlinetext_enabled,,,
TC-004-020,S4,click,id,id_assignsubmission_onlinetext_wordlimit_enabled,,,
TC-004-020,S5,type,id,id_assignsubmission_onlinetext_wordlimit,,aaa,
TC-004-020,S6,click,id,id_submitbutton2,,,
TC-004-020,S7,wait,,,2,,
TC-004-020,S8,verify_text,id,id_error_assignsubmission_onlinetext_wordlimit,,,You must enter a number here.
